Player,SO,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
Merrill Kelly\kellyme01,158,183.1,2019,30,ARI,NL,32,32,0,0,0,13,14,0.481,0,184,95,90,57,4.42,4.51,20.30%,7.30%,101,0.294,29,777,709,38,4,4,2,2,5,14,3,2,0,0,4,0.26,0.314,0.447,0.761,100,2962,1898
Joey Lucchesi\lucchjo01,158,163.2,2019,26,SDP,NL,30,30,0,0,0,10,10,0.5,0,144,78,76,56,4.18,4.17,23.00%,8.20%,101,0.274,23,686,619,32,3,0,2,5,4,13,5,2,0,0,8,0.233,0.297,0.405,0.702,89,2643,1661
Tanner Roark\roarkta01,158,165.1,2019,32,TOT,ML,31,31,0,0,0,10,10,0.5,0,180,84,80,51,4.35,4.67,21.90%,7.10%,103,0.323,28,722,655,36,3,1,13,0,2,16,7,1,0,0,3,0.275,0.338,0.467,0.806,112,2992,1844
Joe Musgrove\musgrjo01,157,170.1,2019,26,PIT,NL,32,31,0,0,0,11,12,0.478,0,168,98,84,39,4.44,3.82,21.90%,5.40%,96,0.3,21,718,662,48,5,1,9,1,6,9,2,3,4,0,2,0.254,0.302,0.437,0.738,98,2657,1804
Domingo German\germado01,153,143,2019,26,NYY,AL,27,24,0,0,0,18,4,0.818,0,125,69,64,39,4.03,4.72,25.80%,6.60%,110,0.26,30,594,548,27,0,0,5,1,1,6,1,4,0,0,5,0.228,0.285,0.442,0.727,90,2247,1486
Steven Matz\matzst01,153,160.1,2019,28,NYM,NL,32,30,1,1,0,11,10,0.524,0,163,83,75,52,4.21,4.6,22.10%,7.50%,96,0.304,27,691,626,32,4,7,7,5,1,16,9,2,0,0,3,0.26,0.324,0.454,0.777,112,2702,1739
Chris Paddack\paddach01,153,140.2,2019,23,SDP,NL,26,26,0,0,0,9,7,0.563,0,107,58,52,31,3.33,3.95,26.90%,5.50%,127,0.239,23,568,524,21,1,1,6,4,3,5,0,1,0,1,1,0.204,0.255,0.38,0.635,70,2280,1586
Adam Wainwright\wainwad01,153,171.2,2019,37,STL,NL,31,31,0,0,0,14,10,0.583,0,181,83,80,64,4.19,4.36,20.50%,8.60%,102,0.323,22,745,662,38,3,7,8,6,5,13,4,4,0,0,2,0.273,0.342,0.44,0.782,109,2876,1796
Jose Quintana\quintjo01,152,171,2019,30,CHC,NL,32,31,0,0,0,13,9,0.591,0,191,100,89,46,4.68,3.8,20.40%,6.20%,95,0.329,20,745,678,43,2,0,2,5,13,11,6,5,4,0,11,0.282,0.323,0.44,0.763,100,2826,1763
Sandy Alcantara\alcansa01,151,197.1,2019,23,MIA,NL,32,32,2,2,0,6,14,0.3,0,179,94,85,81,3.88,4.55,18.00%,9.70%,109,0.274,23,838,743,43,2,5,8,5,1,23,12,2,0,1,4,0.241,0.322,0.397,0.719,96,3091,1998
Jon Gray\grayjo02,150,150,2019,27,COL,NL,26,25,0,0,1,11,8,0.579,0,147,70,64,56,3.84,4.06,23.60%,8.80%,135,0.319,19,637,567,34,5,4,4,7,3,16,8,6,0,0,7,0.259,0.329,0.437,0.766,89,2370,1519
Kyle Hendricks\hendrky01,150,177,2019,29,CHC,NL,30,30,1,1,0,11,10,0.524,0,168,78,68,32,3.46,3.61,20.60%,4.40%,129,0.292,19,730,675,39,2,1,9,8,5,6,5,6,3,0,1,0.249,0.29,0.397,0.687,79,2698,1840
Homer Bailey\baileho02,149,163.1,2019,33,TOT,AL,31,31,0,0,0,13,9,0.591,0,162,84,83,53,4.57,4.11,21.40%,7.60%,99,0.302,21,696,632,24,3,1,4,2,5,11,5,3,1,1,4,0.256,0.316,0.403,0.719,91,2833,1832
Masahiro Tanaka\tanakma01,149,182,2019,30,NYY,AL,32,31,1,1,0,11,9,0.55,0,186,95,90,40,4.45,4.27,19.60%,5.30%,100,0.293,28,759,713,43,4,0,2,0,4,15,2,5,0,0,7,0.261,0.3,0.45,0.751,97,2787,1875
Trent Thornton\thorntr01,149,154.1,2019,25,TOR,AL,32,29,0,0,0,6,9,0.4,0,156,87,83,61,4.84,4.59,22.00%,9.00%,94,0.302,24,677,603,29,4,0,5,1,7,9,4,4,0,0,5,0.259,0.328,0.439,0.768,104,2761,1687
Marco Gonzales\gonzama02,147,203,2019,27,SEA,AL,34,34,0,0,0,16,13,0.552,0,210,106,90,56,3.99,4.15,17.00%,6.50%,109,0.295,23,866,794,50,3,1,6,1,9,22,7,2,0,1,2,0.264,0.314,0.422,0.736,100,3232,2147
Blake Snell\snellbl01,147,107,2019,26,TBR,AL,23,23,0,0,0,6,8,0.429,0,96,53,51,40,4.29,3.32,33.30%,9.10%,104,0.343,14,441,399,18,0,1,1,0,1,4,15,9,4,1,11,0.241,0.311,0.391,0.702,88,1891,1213
Jordan Lyles\lylesjo01,146,141,2019,28,TOT,NL,28,28,0,0,0,12,8,0.6,0,131,72,65,55,4.15,4.64,24.40%,9.20%,105,0.286,25,599,538,28,5,2,1,2,3,8,4,2,1,0,4,0.243,0.313,0.454,0.767,104,2456,1567
Spencer Turnbull\turnbsp01,146,148.1,2019,26,DET,AL,30,30,0,0,0,3,17,0.15,0,154,86,76,59,4.61,3.99,22.30%,9.00%,104,0.333,14,656,576,34,4,1,16,1,4,11,14,5,0,0,9,0.267,0.35,0.413,0.763,101,2661,1630
Miles Mikolas\mikolmi01,144,184,2019,30,STL,NL,32,32,1,1,0,9,14,0.391,0,193,90,85,32,4.16,4.27,18.90%,4.20%,103,0.304,27,764,710,33,6,1,12,3,7,23,5,2,0,2,5,0.272,0.311,0.449,0.761,102,2867,1904
Chris Archer\archech01,143,119.2,2019,30,PIT,NL,23,23,0,0,0,3,9,0.25,0,114,73,69,55,5.19,5.02,27.20%,10.50%,82,0.304,25,526,458,18,2,2,4,6,3,5,9,6,1,0,6,0.249,0.333,0.461,0.793,113,2098,1324
Cole Hamels\hamelco01,143,141.2,2019,35,CHC,NL,27,27,0,0,0,7,7,0.5,0,141,64,60,56,3.81,4.09,23.20%,9.10%,117,0.32,17,617,542,28,0,1,7,4,6,13,11,1,2,0,1,0.26,0.334,0.406,0.74,95,2394,1520
Rick Porcello\porceri01,143,174.1,2019,30,BOS,AL,32,32,0,0,0,14,12,0.538,0,198,114,107,45,5.52,4.76,18.60%,5.90%,87,0.31,31,768,712,43,5,2,6,3,1,6,7,1,0,2,5,0.278,0.326,0.483,0.809,106,2960,1983
Brandon Woodruff\woodrbr01,143,121.2,2019,26,MIL,NL,22,22,0,0,0,11,3,0.786,0,109,49,49,30,3.62,3.01,29.00%,6.10%,123,0.322,12,493,454,15,1,0,5,2,2,12,8,3,1,1,1,0.24,0.293,0.357,0.65,73,1977,1325
Mike Soroka\sorokmi01,142,174.2,2019,21,ATL,NL,29,29,0,0,0,13,4,0.765,0,153,56,52,41,2.68,3.45,20.30%,5.90%,169,0.282,14,701,647,21,2,1,7,3,2,23,6,2,1,0,3,0.236,0.288,0.34,0.628,64,2557,1674
Chris Bassitt\bassich01,141,144,2019,30,OAK,AL,28,25,0,0,2,10,5,0.667,0,125,66,61,47,3.81,4.4,23.00%,7.70%,113,0.268,21,612,545,21,3,0,13,2,5,8,10,2,0,0,3,0.229,0.303,0.394,0.698,88,2430,1570
J.A. Happ\happja01,140,161.1,2019,36,NYY,AL,31,30,0,0,0,12,8,0.6,0,160,88,88,49,4.91,5.22,20.70%,7.20%,90,0.281,34,678,621,27,1,1,5,0,2,17,2,1,0,0,3,0.258,0.316,0.469,0.785,106,2696,1691
Wade Miley\mileywa01,140,167.1,2019,32,HOU,AL,33,33,0,0,0,14,6,0.7,0,164,83,74,61,3.98,4.51,19.40%,8.50%,116,0.289,23,720,646,25,2,0,5,2,5,13,3,2,4,2,4,0.254,0.321,0.406,0.726,89,2968,1801
Michael Pineda\pinedmi01,140,146,2019,30,MIN,AL,26,26,0,0,0,11,5,0.688,0,141,68,65,28,4.01,4.02,23.30%,4.70%,114,0.294,23,600,558,26,2,1,5,2,7,10,8,1,0,0,8,0.253,0.291,0.43,0.721,88,2278,1542
Jeff Samardzija\samarje01,140,181.1,2019,34,SFG,NL,32,32,0,0,0,11,12,0.478,0,152,78,71,49,3.52,4.59,18.90%,6.60%,119,0.242,28,740,677,24,9,4,6,4,4,11,14,4,0,0,5,0.225,0.281,0.411,0.692,87,3006,1921
Eric Lauer\lauerer01,138,149.2,2019,24,SDP,NL,30,29,0,0,0,8,10,0.444,0,158,82,74,51,4.45,4.23,21.20%,7.80%,95,0.318,20,651,589,35,0,4,5,3,3,11,2,1,2,1,4,0.268,0.33,0.43,0.76,106,2510,1634
Drew Pomeranz\pomerdr01,137,104,2019,30,TOT,NL,46,18,0,0,4,2,10,0.167,2,105,58,56,44,4.85,4.59,30.10%,9.70%,88,0.34,21,455,403,14,3,0,4,2,2,7,7,4,1,1,1,0.261,0.338,0.467,0.804,117,1956,1248
Dakota Hudson\hudsoda02,136,174.2,2019,24,STL,NL,33,32,0,0,1,16,7,0.696,1,160,80,65,86,3.35,4.93,18.00%,11.40%,128,0.275,22,757,652,37,0,8,9,3,7,20,3,1,0,0,5,0.245,0.338,0.403,0.742,100,2848,1718
Martin Perez\perezma02,135,165.1,2019,28,MIN,AL,32,29,0,0,0,10,7,0.588,0,184,104,94,67,5.12,4.66,18.30%,9.10%,90,0.318,23,737,659,36,0,1,3,3,5,12,13,2,1,1,3,0.279,0.346,0.439,0.785,107,2772,1796
Anibal Sanchez\sanchan01,134,166,2019,35,WSN,NL,30,30,0,0,0,11,8,0.579,0,153,77,71,58,3.85,4.44,18.80%,8.20%,119,0.266,22,712,647,38,3,10,4,1,2,7,15,0,2,3,1,0.236,0.302,0.406,0.709,83,2690,1726
Vince Velasquez\velasvi01,130,117.1,2019,27,PHI,NL,33,23,0,0,2,7,8,0.467,0,120,69,64,43,4.91,5.21,25.20%,8.30%,92,0.308,26,516,458,22,4,2,9,3,3,7,4,2,0,0,5,0.262,0.335,0.498,0.833,117,2120,1351
Zach Eflin\eflinza01,129,163.1,2019,25,PHI,NL,32,28,2,1,3,10,13,0.435,0,172,88,75,48,4.13,4.85,18.30%,6.80%,109,0.295,28,705,642,34,0,5,6,6,3,15,9,4,1,0,1,0.268,0.323,0.452,0.775,102,2571,1687
Tyler Mahle\mahlety01,129,129.2,2019,24,CIN,NL,25,25,0,0,0,3,12,0.2,0,136,82,74,34,5.14,4.66,23.20%,6.10%,88,0.308,25,556,512,21,1,0,6,2,2,9,3,2,0,1,2,0.266,0.318,0.457,0.775,102,2211,1460
