Player,SO,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
Jorge Lopez\lopezjo02,109,123.2,2019,26,KCR,AL,39,18,0,0,8,4,9,0.308,1,140,94,87,42,6.33,5.55,19.90%,7.70%,75,0.314,27,548,489,26,2,0,10,0,7,11,5,1,1,0,6,0.286,0.35,0.513,0.864,125,2060,1286
Andrew Cashner\cashnan01,108,150,2019,32,TOT,AL,42,23,0,0,3,11,8,0.579,1,144,84,78,58,4.68,4.66,17.00%,9.10%,102,0.28,19,636,570,27,5,0,4,1,3,17,2,5,0,0,8,0.253,0.324,0.418,0.742,95,2511,1531
CC Sabathia\sabatc.01,107,107.1,2019,38,NYY,AL,23,22,0,0,0,5,8,0.385,0,112,64,59,39,4.95,5.66,22.90%,8.30%,90,0.294,27,468,422,23,0,0,3,2,1,9,9,2,0,0,0,0.265,0.331,0.512,0.843,120,1729,1105
Mike Foltynewicz\foltymi01,105,117,2019,27,ATL,NL,21,21,0,0,0,8,6,0.571,0,109,65,59,37,4.54,4.97,21.40%,7.50%,100,0.27,23,491,446,19,4,2,2,5,1,6,3,2,0,0,5,0.244,0.305,0.46,0.764,96,1888,1227
Michael Wacha\wachami01,104,126.2,2019,27,STL,NL,29,24,0,0,0,6,7,0.462,0,143,71,67,55,4.76,5.61,18.50%,9.80%,90,0.318,26,562,493,25,1,4,3,6,5,15,5,3,2,0,2,0.29,0.362,0.503,0.865,130,2202,1373
Zach Davies\davieza02,102,159.2,2019,26,MIL,NL,31,31,0,0,0,10,7,0.588,0,155,73,63,51,3.55,4.56,15.20%,7.60%,125,0.276,20,672,606,27,5,0,2,7,5,14,10,7,1,0,4,0.256,0.313,0.416,0.729,92,2680,1635
Jhoulys Chacin\chacijh01,101,103.1,2019,31,TOT,ML,25,24,0,0,0,3,12,0.2,0,115,73,69,46,6.01,5.88,21.50%,9.80%,75,0.311,25,470,411,20,2,1,5,4,4,6,6,1,0,0,3,0.28,0.356,0.521,0.877,128,1945,1194
Adrian Sampson\sampsad01,101,125.1,2019,27,TEX,AL,35,15,1,0,4,6,8,0.429,0,156,86,82,36,5.89,5.69,17.90%,6.40%,88,0.327,29,563,516,38,6,1,9,0,2,12,3,2,2,1,4,0.302,0.357,0.568,0.925,130,2056,1326
Steven Brault\braulst01,100,113.1,2019,27,PIT,NL,25,19,0,0,1,4,6,0.4,0,117,69,65,53,5.16,4.76,19.80%,10.50%,83,0.313,15,505,441,29,1,2,7,3,0,18,11,1,0,1,7,0.265,0.353,0.438,0.791,114,2001,1233
Pablo Lopez\lopezpa01,95,111.1,2019,23,MIA,NL,21,21,0,0,0,5,8,0.385,0,111,64,63,27,5.09,4.28,20.30%,5.80%,83,0.303,15,469,425,23,3,3,11,4,2,10,1,2,0,2,6,0.261,0.32,0.435,0.756,105,1796,1155
Tommy Milone\milonto01,94,111.2,2019,32,SEA,AL,23,6,0,0,0,4,10,0.286,0,102,61,59,23,4.76,5,20.80%,5.10%,92,0.252,24,453,423,29,1,2,2,0,5,7,7,2,1,0,1,0.241,0.28,0.485,0.765,104,1750,1150
Wade LeBlanc\leblawa01,92,121.1,2019,34,SEA,AL,26,8,0,0,4,6,7,0.462,0,145,80,77,31,5.71,5.49,17.30%,5.80%,76,0.309,28,532,498,33,2,1,1,1,1,13,3,0,0,0,0,0.291,0.333,0.534,0.867,132,1953,1273
Dallas Keuchel\keuchda01,91,112.2,2019,31,ATL,NL,19,19,0,0,0,8,8,0.5,0,115,50,47,39,3.75,4.72,18.70%,8.00%,121,0.303,16,487,434,14,4,1,9,5,0,16,0,1,0,0,6,0.265,0.338,0.426,0.764,99,1864,1151
Brett Anderson\anderbr04,90,176,2019,31,OAK,AL,31,31,0,0,0,13,9,0.591,0,181,80,76,49,3.89,4.57,12.10%,6.60%,111,0.28,20,743,682,33,2,2,4,4,4,17,10,8,4,0,4,0.265,0.317,0.408,0.724,95,2654,1701
Jalen Beeks\beeksja02,89,104.1,2019,25,TBR,AL,33,3,0,0,5,6,3,0.667,1,115,56,50,40,4.31,4.41,19.20%,8.60%,103,0.329,12,464,409,27,0,1,9,1,5,9,3,2,1,0,3,0.281,0.354,0.435,0.789,111,1821,1140
Cal Quantrill\quantca01,89,103,2019,24,SDP,NL,23,18,0,0,0,6,8,0.429,0,106,61,59,28,5.16,4.28,20.10%,6.30%,82,0.297,15,443,407,18,3,2,3,2,3,4,10,0,2,0,3,0.26,0.311,0.43,0.741,100,1781,1118
Zach Plesac\plesaza01,88,115.2,2019,24,CLE,AL,21,21,1,1,0,8,6,0.571,0,102,52,49,40,3.81,4.94,18.50%,8.40%,124,0.257,19,475,430,25,2,0,3,2,0,8,1,1,6,0,1,0.237,0.307,0.437,0.744,91,1892,1224
Aaron Brooks\brookaa01,82,110,2019,29,TOT,AL,29,18,0,0,8,6,8,0.429,0,118,72,69,34,5.65,5.4,17.00%,7.10%,81,0.29,21,482,436,26,4,0,10,1,1,11,7,1,0,1,4,0.271,0.337,0.493,0.83,119,1899,1192
Jordan Zimmermann\zimmejo02,82,112,2019,33,DET,AL,23,23,0,0,0,1,13,0.071,0,145,89,86,25,6.91,4.79,16.30%,5.00%,70,0.341,19,504,466,29,7,2,6,3,4,5,12,3,0,0,3,0.311,0.351,0.526,0.877,126,1866,1213
Trevor Cahill\cahiltr01,81,102.1,2019,31,LAA,AL,37,11,0,0,12,4,9,0.308,0,111,71,68,39,5.98,6.13,17.80%,8.60%,76,0.283,25,455,406,24,4,0,6,0,4,5,13,2,1,0,14,0.273,0.343,0.537,0.88,131,1788,1107
Ariel Jurado\juradar01,81,122.1,2019,23,TEX,AL,32,18,1,0,3,7,11,0.389,0,148,94,79,36,5.81,5.1,15.00%,6.70%,89,0.322,21,541,487,35,5,1,4,5,9,14,7,3,1,0,3,0.304,0.351,0.526,0.876,118,2047,1308
Glenn Sparkman\sparkgl01,81,136,2019,27,KCR,AL,31,23,1,1,2,4,11,0.267,0,164,96,91,41,6.02,5.93,13.40%,6.80%,78,0.3,30,606,554,34,2,1,6,1,4,8,1,4,0,2,6,0.296,0.349,0.527,0.876,127,2275,1444
Kyle Freeland\freelky01,79,104.1,2019,26,COL,NL,22,22,0,0,0,3,11,0.214,0,126,85,78,39,6.73,5.99,16.70%,8.30%,77,0.31,25,473,426,21,7,3,2,2,4,12,1,1,0,0,4,0.296,0.355,0.554,0.909,122,1781,1139
Adam Plutko\plutkad01,78,109.1,2019,27,CLE,AL,21,20,0,0,0,7,5,0.583,0,115,61,59,26,4.86,5.23,16.90%,5.60%,97,0.28,22,462,430,27,1,2,4,0,2,9,2,1,0,0,0,0.267,0.314,0.488,0.802,105,1794,1178
Antonio Senzatela\senzaan01,76,124.2,2019,24,COL,NL,25,25,0,0,0,11,11,0.5,0,161,99,93,57,6.71,5.44,13.10%,9.80%,77,0.336,19,582,514,38,2,5,4,4,3,16,5,0,0,3,1,0.313,0.384,0.506,0.89,120,2237,1352
Gabriel Ynoa\ynoaga01,67,110.2,2019,26,BAL,AL,36,13,0,0,3,1,10,0.091,0,126,77,69,26,5.61,6.2,14.00%,5.40%,84,0.273,29,480,450,24,2,1,3,0,1,15,2,2,0,1,4,0.28,0.323,0.536,0.858,123,1815,1172
